company,symbol,fye,name,mug,title,cash,equity,other,total,change,salary,bonus,neip,Stock Awards,Option Awards,Other,age,gender
Microsoft,MSFT,18-Jul,Satya Nadella,NadellaSatya,CEO,4518917,79777109,12729,84308755,n/a,918917,3600000,0,"$79,777,109 ", $-   ,"$12,729 ",47,M
Starbucks,SBUX,18-Oct,Howard Schultz,SchultzHoward,"Chairman, president & CEO",4426875,16537503,502076,21466454,#REF!,1500000,0,2926875,"$6,294,559 ","$10,242,944 ","$502,076 ",61,M
T-Mobile US,TMUS,19-Jan,John Legere,LegereJohn,President & CEO,7908333,10658668,0,18567001,#REF!,1250000,0,6658333,"$10,658,668 ", $-   , $-   ,56,M
Nike,NKE,18-Jun,Mark Parker,ParkerMark,President & CEO,8088177,5951198,638974,14678349,#REF!,1550000,0,6538177,"$3,500,024 ","$2,451,174 ","$638,974 ",58,M
Micron Technology,MU,18-Sep,Mark Durcan,DurcanMark,CEO,3452943,8000728,25437,11479108,#REF!,1005289,0,2447654,"$6,167,388 ","$1,833,340 ","$25,437 ",53,M
Precision Castparts,PCP,18-Apr,Mark Donegan,DoneganMark,Chairman & CEO,3796571,5662150,241155,9699876,#REF!,1530000,200000,2066571, $-   ,"$5,662,150 ","$241,155 ",57,M
Expedia,EXPE,19-Jan,Dara Khosrowshahi,KhosrowshahiDara,CEO,4500000,5119089,23317,9642406,#REF!,1000000,3500000,0, $-   ,"$5,119,089 ","$23,317 ",45,M
F5 Networks,FFIV,18-Oct,John McAdam,McAdamJohn,President & CEO,1937535,6202098,4109,8143742,#REF!,813263,0,1124272,"$6,202,098 ", $-   ,"$4,109 ",63,M
Esterline,ESL,18-Nov,Curtis Reusser,,"Chairman, president & CEO",2116748,5895385,27169,8039302,n/a,764423,600000,752325,"$4,771,675 ","$1,123,710 ","$27,169 ",54,M
Weyerhaeuser,WY,19-Jan,Doyle Simons,SimonsDoyle,President & CEO,2662000,5278229,55102,7995331,n/a,950000,0,1712000,"$3,957,023 ","$1,321,206 ","$55,102 ",51,M
